"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2012","6,419.22","6,372.49","6,420.05","6,339.00","246.10M","-0.27%"
"Jan 23, 2012","6,436.62","6,387.33","6,467.34","6,349.69","270.71M","0.50%"
"Jan 20, 2012","6,404.39","6,410.75","6,431.26","6,371.69","272.36M","-0.18%"
"Jan 19, 2012","6,416.26","6,377.24","6,420.35","6,333.70","335.56M","0.97%"
"Jan 18, 2012","6,354.57","6,330.43","6,399.43","6,280.52","184.49M","0.34%"
"Jan 17, 2012","6,332.93","6,301.91","6,343.04","6,270.97","167.12M","1.82%"
"Jan 16, 2012","6,220.01","6,120.40","6,232.21","6,104.11","108.07M","1.25%"
"Jan 13, 2012","6,143.08","6,242.49","6,245.38","6,063.66","213.91M","-0.58%"
"Jan 12, 2012","6,179.21","6,160.09","6,256.95","6,148.85","205.75M","0.44%"
"Jan 11, 2012","6,152.34","6,148.45","6,181.61","6,106.03","166.80M","-0.17%"
"Jan 10, 2012","6,162.98","6,090.87","6,191.29","6,069.36","171.41M","2.42%"
"Jan 09, 2012","6,017.23","6,061.26","6,076.59","5,987.75","110.95M","-0.67%"
"Jan 06, 2012","6,057.92","6,114.64","6,152.56","6,012.64","109.97M","-0.62%"
"Jan 05, 2012","6,095.99","6,121.34","6,130.10","6,040.94","141.74M","-0.25%"
"Jan 04, 2012","6,111.55","6,141.26","6,163.48","6,088.06","100.87M","-0.89%"
"Jan 03, 2012","6,166.57","6,124.11","6,179.03","6,108.62","116.71M","1.50%"
"Jan 02, 2012","6,075.52","5,900.18","6,075.52","5,900.18","90.83M","3.00%"
"Dec 30, 2011","5,898.35","5,867.03","5,898.35","5,817.71","42.36M","0.85%"
"Dec 29, 2011","5,848.78","5,804.13","5,848.78","5,775.79","59.71M","1.34%"
"Dec 28, 2011","5,771.27","5,875.87","5,901.35","5,771.27","72.30M","-2.01%"
"Dec 27, 2011","5,889.76","5,900.70","5,924.38","5,877.98","35.25M","0.18%"
"Dec 23, 2011","5,878.93","5,905.18","5,913.41","5,844.64","54.22M","0.46%"
"Dec 22, 2011","5,852.18","5,830.13","5,886.18","5,820.44","88.64M","1.05%"
"Dec 21, 2011","5,791.53","5,918.72","5,965.35","5,771.62","145.37M","-0.95%"
"Dec 20, 2011","5,847.03","5,652.61","5,847.71","5,637.53","129.74M","3.11%"
"Dec 19, 2011","5,670.71","5,651.74","5,775.24","5,644.19","102.01M","-0.54%"
"Dec 16, 2011","5,701.78","5,764.45","5,775.00","5,693.41","301.49M","-0.50%"
"Dec 15, 2011","5,730.62","5,713.48","5,795.87","5,682.16","183.78M","0.98%"
"Dec 14, 2011","5,675.14","5,738.98","5,771.60","5,675.14","202.90M","-1.72%"
"Dec 13, 2011","5,774.26","5,801.39","5,852.43","5,734.12","191.20M","-0.19%"
"Dec 12, 2011","5,785.43","5,945.19","5,952.55","5,785.43","153.58M","-3.36%"
"Dec 09, 2011","5,986.71","5,806.49","6,007.05","5,802.36","190.77M","1.91%"
"Dec 08, 2011","5,874.44","6,054.56","6,077.17","5,868.63","183.75M","-2.01%"
"Dec 07, 2011","5,994.73","6,116.26","6,137.05","5,919.56","143.84M","-0.57%"
"Dec 06, 2011","6,028.82","6,021.73","6,094.77","6,005.82","156.07M","-1.27%"
"Dec 05, 2011","6,106.09","6,137.87","6,170.04","6,086.42","201.03M","0.42%"
"Dec 02, 2011","6,080.68","6,117.73","6,169.64","6,055.48","205.32M","0.74%"
"Dec 01, 2011","6,035.88","6,080.48","6,111.97","6,017.38","153.04M","-0.87%"
"Nov 30, 2011","6,088.84","5,741.21","6,130.68","5,725.98","244.42M","4.98%"
"Nov 29, 2011","5,799.91","5,725.68","5,826.35","5,690.57","143.66M","0.95%"
"Nov 28, 2011","5,745.33","5,577.19","5,754.51","5,573.00","172.62M","4.60%"
"Nov 25, 2011","5,492.87","5,433.30","5,528.64","5,366.50","135.41M","1.19%"
"Nov 24, 2011","5,428.11","5,512.76","5,563.82","5,399.85","157.73M","-0.54%"
"Nov 23, 2011","5,457.77","5,485.67","5,588.11","5,457.77","236.21M","-1.44%"
"Nov 22, 2011","5,537.39","5,648.50","5,681.74","5,537.39","245.73M","-1.22%"
"Nov 21, 2011","5,606.00","5,767.09","5,771.70","5,598.05","182.78M","-3.35%"
"Nov 18, 2011","5,800.24","5,800.79","5,897.99","5,769.69","153.52M","-0.85%"
"Nov 17, 2011","5,850.17","5,875.86","5,921.25","5,778.10","180.84M","-1.07%"
"Nov 16, 2011","5,913.36","5,873.29","6,028.23","5,852.04","139.96M","-0.33%"
"Nov 15, 2011","5,933.14","5,920.43","6,011.47","5,815.85","140.68M","-0.87%"
"Nov 14, 2011","5,985.02","6,097.27","6,116.07","5,934.09","133.94M","-1.19%"
"Nov 11, 2011","6,057.03","5,881.49","6,065.29","5,855.12","144.52M","3.22%"
"Nov 10, 2011","5,867.81","5,732.32","5,934.31","5,721.97","201.64M","0.66%"
"Nov 09, 2011","5,829.54","6,045.87","6,055.58","5,767.26","251.01M","-2.21%"
"Nov 08, 2011","5,961.44","5,950.44","6,087.06","5,934.23","144.45M","0.55%"
"Nov 07, 2011","5,928.68","5,905.93","6,028.59","5,835.09","158.21M","-0.63%"
"Nov 04, 2011","5,966.16","6,175.43","6,175.43","5,928.92","198.96M","-2.72%"
"Nov 03, 2011","6,133.18","5,835.36","6,193.34","5,832.03","237.53M","2.81%"
"Nov 02, 2011","5,965.63","5,897.14","5,990.56","5,810.79","177.75M","2.25%"
"Nov 01, 2011","5,834.51","5,934.54","5,947.58","5,762.26","291.72M","-5.00%"
"Oct 31, 2011","6,141.34","6,283.19","6,304.84","6,141.34","173.80M","-3.23%"
"Oct 28, 2011","6,346.19","6,364.18","6,430.60","6,305.50","207.68M","0.13%"
"Oct 27, 2011","6,337.84","6,222.75","6,347.60","6,196.60","333.79M","5.35%"
"Oct 26, 2011","6,016.07","6,041.16","6,143.56","5,951.82","151.17M","-0.51%"
"Oct 25, 2011","6,046.75","6,026.45","6,157.93","5,964.28","171.99M","-0.14%"
"Oct 24, 2011","6,055.27","6,014.36","6,067.16","5,937.58","143.51M","1.41%"
"Oct 21, 2011","5,970.96","5,800.06","5,980.46","5,769.19","176.84M","3.55%"
"Oct 20, 2011","5,766.48","5,834.42","5,914.87","5,752.83","172.12M","-2.49%"
"Oct 19, 2011","5,913.53","5,909.58","5,977.75","5,874.85","141.35M","0.61%"
"Oct 18, 2011","5,877.41","5,781.77","5,907.46","5,747.65","153.04M","0.31%"
"Oct 17, 2011","5,859.43","6,021.29","6,081.41","5,819.97","177.50M","-1.81%"
"Oct 14, 2011","5,967.20","5,934.78","6,037.29","5,885.39","185.19M","0.89%"
"Oct 13, 2011","5,914.84","5,969.91","6,036.02","5,878.29","184.77M","-1.33%"
"Oct 12, 2011","5,994.47","5,851.10","6,022.05","5,798.16","183.86M","2.21%"
"Oct 11, 2011","5,865.01","5,825.91","5,883.38","5,773.88","139.41M","0.30%"
"Oct 10, 2011","5,847.29","5,705.40","5,872.15","5,652.99","147.42M","3.02%"
"Oct 07, 2011","5,675.70","5,647.66","5,749.13","5,606.32","166.60M","0.54%"
"Oct 06, 2011","5,645.25","5,511.56","5,645.25","5,465.55","210.85M","3.15%"
"Oct 05, 2011","5,473.03","5,341.43","5,486.03","5,266.14","178.81M","4.91%"
"Oct 04, 2011","5,216.71","5,284.11","5,288.78","5,125.44","204.74M","-2.98%"
"Oct 03, 2011","5,376.70","5,311.93","5,437.74","5,289.04","132.11M","-2.28%"
"Sep 30, 2011","5,502.02","5,602.55","5,606.56","5,438.55","179.77M","-2.44%"
"Sep 29, 2011","5,639.58","5,555.07","5,704.41","5,533.33","182.95M","1.10%"
"Sep 28, 2011","5,578.42","5,560.60","5,700.08","5,520.59","181.76M","-0.89%"
"Sep 27, 2011","5,628.44","5,502.89","5,638.04","5,483.23","245.88M","5.29%"
"Sep 26, 2011","5,345.56","5,128.56","5,415.56","5,118.19","211.13M","2.87%"
"Sep 23, 2011","5,196.56","5,227.09","5,229.60","4,973.92","198.77M","0.63%"
"Sep 22, 2011","5,164.21","5,258.42","5,289.77","5,135.85","203.15M","-4.96%"
"Sep 21, 2011","5,433.80","5,557.07","5,557.92","5,417.85","149.19M","-2.47%"
"Sep 20, 2011","5,571.68","5,373.53","5,577.60","5,369.07","158.69M","2.88%"
"Sep 19, 2011","5,415.91","5,447.32","5,496.94","5,362.01","161.28M","-2.83%"
"Sep 16, 2011","5,573.51","5,607.51","5,655.95","5,524.22","377.71M","1.18%"
"Sep 15, 2011","5,508.24","5,386.86","5,566.58","5,374.57","235.48M","3.15%"
"Sep 14, 2011","5,340.19","5,108.10","5,347.82","5,105.82","231.78M","3.36%"
"Sep 13, 2011","5,166.36","5,153.95","5,222.81","4,969.84","284.11M","1.85%"
"Sep 12, 2011","5,072.33","5,063.59","5,126.52","4,965.80","265.14M","-2.27%"
"Sep 09, 2011","5,189.93","5,383.63","5,400.79","5,174.24","229.31M","-4.04%"
"Sep 08, 2011","5,408.46","5,410.08","5,473.68","5,313.78","161.72M","0.05%"
"Sep 07, 2011","5,405.53","5,332.52","5,406.23","5,276.88","180.82M","4.07%"
"Sep 06, 2011","5,193.97","5,248.31","5,332.11","5,150.05","238.11M","-1.00%"
"Sep 05, 2011","5,246.18","5,409.87","5,421.11","5,208.37","202.46M","-5.28%"
"Sep 02, 2011","5,538.33","5,623.70","5,635.50","5,493.31","182.04M","-3.36%"
"Sep 01, 2011","5,730.63","5,793.10","5,794.50","5,639.03","188.57M","-0.94%"
"Aug 31, 2011","5,784.85","5,686.26","5,869.65","5,648.97","245.79M","2.50%"
"Aug 30, 2011","5,643.92","5,713.53","5,730.36","5,572.65","132.99M","-0.46%"
"Aug 29, 2011","5,670.07","5,634.06","5,714.72","5,587.78","99.26M","2.39%"
"Aug 26, 2011","5,537.48","5,582.50","5,588.69","5,403.58","172.50M","-0.84%"
"Aug 25, 2011","5,584.14","5,739.86","5,777.04","5,451.52","225.57M","-1.71%"
"Aug 24, 2011","5,681.08","5,579.80","5,743.10","5,514.15","162.59M","2.69%"
"Aug 23, 2011","5,532.38","5,529.26","5,636.06","5,452.15","186.61M","1.07%"
"Aug 22, 2011","5,473.78","5,412.75","5,591.35","5,408.71","182.96M","-0.11%"
"Aug 19, 2011","5,480.00","5,581.51","5,595.15","5,345.36","351.40M","-2.19%"
"Aug 18, 2011","5,602.80","5,854.36","5,892.57","5,535.61","325.97M","-5.82%"
"Aug 17, 2011","5,948.94","5,910.50","6,018.37","5,870.17","161.67M","-0.77%"
"Aug 16, 2011","5,994.90","5,957.94","5,998.31","5,849.52","166.06M","-0.45%"
"Aug 15, 2011","6,022.24","6,075.59","6,106.11","6,008.01","143.25M","0.41%"
"Aug 12, 2011","5,997.74","5,775.96","6,023.75","5,678.62","255.81M","3.45%"
"Aug 11, 2011","5,797.66","5,771.21","5,825.08","5,487.82","358.98M","3.28%"
"Aug 10, 2011","5,613.42","6,040.68","6,089.08","5,549.02","433.03M","-5.13%"
"Aug 09, 2011","5,917.08","5,896.14","6,026.27","5,502.63","435.79M","-0.10%"
"Aug 08, 2011","5,923.27","6,170.69","6,272.94","5,911.09","314.80M","-5.02%"
"Aug 05, 2011","6,236.16","6,338.77","6,436.66","6,152.62","360.00M","-2.78%"
"Aug 04, 2011","6,414.76","6,714.79","6,730.43","6,391.54","288.06M","-3.40%"
"Aug 03, 2011","6,640.59","6,717.84","6,783.07","6,543.60","265.05M","-2.30%"
"Aug 02, 2011","6,796.75","6,909.43","6,938.34","6,772.38","182.74M","-2.26%"
"Aug 01, 2011","6,953.98","7,254.50","7,282.01","6,953.98","189.25M","-2.86%"
"Jul 29, 2011","7,158.77","7,108.27","7,190.91","7,063.82","142.83M","-0.44%"
"Jul 28, 2011","7,190.06","7,163.95","7,203.01","7,110.13","164.84M","-0.86%"
"Jul 27, 2011","7,252.68","7,315.75","7,344.17","7,216.58","133.57M","-1.32%"
"Jul 26, 2011","7,349.45","7,369.89","7,382.80","7,302.50","140.21M","0.07%"
"Jul 25, 2011","7,344.54","7,273.60","7,366.78","7,258.52","111.47M","0.25%"
"Jul 22, 2011","7,326.39","7,308.48","7,357.25","7,266.79","200.09M","0.50%"
"Jul 21, 2011","7,290.14","7,243.79","7,324.79","7,140.50","244.58M","0.95%"
"Jul 20, 2011","7,221.36","7,250.18","7,263.18","7,166.37","171.13M","0.40%"
"Jul 19, 2011","7,192.67","7,148.48","7,236.44","7,139.76","165.01M","1.19%"
"Jul 18, 2011","7,107.92","7,162.82","7,171.55","7,089.09","168.93M","-1.55%"
"Jul 15, 2011","7,220.12","7,188.70","7,254.10","7,139.68","206.98M","0.07%"
"Jul 14, 2011","7,214.74","7,204.94","7,267.28","7,197.49","136.79M","-0.73%"
"Jul 13, 2011","7,267.87","7,171.47","7,280.16","7,163.09","154.20M","1.31%"
"Jul 12, 2011","7,174.14","7,112.19","7,190.47","6,996.26","252.97M","-0.78%"
"Jul 11, 2011","7,230.25","7,352.73","7,358.50","7,188.96","197.08M","-2.33%"
"Jul 08, 2011","7,402.73","7,502.83","7,523.53","7,389.80","138.52M","-0.92%"
"Jul 07, 2011","7,471.44","7,467.82","7,516.15","7,442.98","127.08M","0.54%"
"Jul 06, 2011","7,431.19","7,443.93","7,450.71","7,396.74","121.35M","-0.11%"
"Jul 05, 2011","7,439.44","7,433.13","7,474.93","7,424.73","93.83M","-0.05%"
"Jul 04, 2011","7,442.96","7,427.14","7,450.38","7,416.73","84.66M","0.32%"
"Jul 01, 2011","7,419.44","7,374.49","7,443.20","7,357.03","141.25M","0.59%"
"Jun 30, 2011","7,376.24","7,310.34","7,378.35","7,285.44","116.70M","1.13%"
"Jun 29, 2011","7,294.14","7,230.95","7,320.30","7,230.95","148.48M","1.73%"
"Jun 28, 2011","7,170.43","7,138.50","7,187.08","7,075.19","137.24M","0.88%"
"Jun 27, 2011","7,107.90","7,101.15","7,144.44","7,079.11","149.93M","-0.19%"
"Jun 24, 2011","7,121.38","7,231.73","7,273.32","7,099.22","167.16M","-0.39%"
"Jun 23, 2011","7,149.44","7,225.20","7,237.20","7,118.52","132.11M","-1.77%"
"Jun 22, 2011","7,278.19","7,285.93","7,310.10","7,262.37","123.71M","-0.10%"
"Jun 21, 2011","7,285.51","7,202.88","7,285.51","7,176.74","137.26M","1.89%"
"Jun 20, 2011","7,150.21","7,078.59","7,158.24","7,063.86","103.23M","-0.19%"
"Jun 17, 2011","7,164.05","7,084.27","7,224.11","7,037.24","370.10M","0.76%"
"Jun 16, 2011","7,110.20","7,062.18","7,111.64","7,017.98","161.15M","-0.07%"
"Jun 15, 2011","7,115.08","7,178.05","7,202.17","7,093.23","123.85M","-1.25%"
"Jun 14, 2011","7,204.79","7,165.14","7,231.49","7,161.21","113.23M","1.69%"
"Jun 13, 2011","7,085.14","7,075.91","7,123.88","7,040.42","66.73M","0.22%"
"Jun 10, 2011","7,069.90","7,152.55","7,182.83","7,050.84","136.63M","-1.25%"
"Jun 09, 2011","7,159.66","7,061.87","7,183.78","7,035.86","149.28M","1.41%"
"Jun 08, 2011","7,060.23","7,076.31","7,089.15","6,991.62","145.47M","-0.61%"
"Jun 07, 2011","7,103.25","7,094.14","7,147.63","7,086.90","116.85M","0.26%"
"Jun 06, 2011","7,084.57","7,095.40","7,124.31","7,062.73","113.84M","-0.34%"
"Jun 03, 2011","7,109.03","7,101.48","7,120.12","7,021.36","162.45M","0.49%"
"Jun 02, 2011","7,074.12","7,155.86","7,157.59","7,074.12","111.56M","-1.99%"
"Jun 01, 2011","7,217.43","7,310.56","7,314.66","7,193.89","228.39M","-1.05%"
"May 31, 2011","7,293.69","7,240.12","7,319.69","7,238.77","216.65M","1.86%"
"May 30, 2011","7,160.30","7,165.00","7,204.16","7,146.98","98.88M","-0.04%"
"May 27, 2011","7,163.47","7,205.13","7,208.48","7,115.48","190.77M","0.69%"
"May 26, 2011","7,114.09","7,202.72","7,217.24","7,087.32","225.57M","-0.79%"
"May 25, 2011","7,170.94","7,079.25","7,183.80","7,071.42","240.86M","0.28%"
"May 24, 2011","7,150.66","7,129.94","7,202.21","7,128.04","192.41M","0.41%"
"May 23, 2011","7,121.52","7,158.08","7,166.15","7,105.20","185.38M","-2.00%"
"May 20, 2011","7,266.82","7,372.18","7,410.31","7,228.13","286.35M","-1.24%"
"May 19, 2011","7,358.23","7,360.47","7,415.65","7,316.74","124.05M","0.75%"
"May 18, 2011","7,303.53","7,325.85","7,340.54","7,261.29","94.21M","0.65%"
"May 17, 2011","7,256.65","7,346.81","7,368.98","7,253.89","117.67M","-1.77%"
"May 16, 2011","7,387.54","7,348.12","7,402.52","7,284.96","154.71M","-0.21%"
"May 13, 2011","7,403.31","7,486.20","7,511.09","7,391.14","136.91M","-0.55%"
"May 12, 2011","7,443.95","7,438.02","7,443.95","7,356.76","154.68M","-0.68%"
"May 11, 2011","7,495.05","7,526.56","7,566.41","7,469.63","118.54M","-0.09%"
"May 10, 2011","7,501.52","7,446.44","7,533.86","7,423.33","107.86M","1.23%"
"May 09, 2011","7,410.52","7,461.35","7,489.09","7,379.97","121.92M","-1.09%"
"May 06, 2011","7,492.25","7,391.04","7,501.63","7,362.55","175.80M","1.56%"
"May 05, 2011","7,376.96","7,416.38","7,423.96","7,291.39","194.78M","0.04%"
"May 04, 2011","7,373.93","7,475.18","7,534.26","7,355.40","182.27M","-1.69%"
"May 03, 2011","7,500.70","7,518.60","7,523.68","7,446.83","142.24M","-0.36%"
"May 02, 2011","7,527.64","7,570.86","7,600.41","7,527.64","92.28M","0.18%"
"Apr 29, 2011","7,514.46","7,475.00","7,514.69","7,461.53","91.92M","0.52%"
"Apr 28, 2011","7,475.22","7,450.57","7,480.33","7,426.62","138.73M","0.95%"
"Apr 27, 2011","7,404.95","7,374.11","7,428.72","7,361.24","107.73M","0.66%"
"Apr 26, 2011","7,356.51","7,288.77","7,359.97","7,278.52","83.58M","0.84%"
"Apr 21, 2011","7,295.49","7,294.58","7,316.53","7,280.10","115.55M","0.64%"
"Apr 20, 2011","7,249.19","7,137.10","7,261.26","7,136.74","142.61M","2.98%"
"Apr 19, 2011","7,039.31","7,050.85","7,078.79","7,027.04","130.65M","0.18%"
"Apr 18, 2011","7,026.85","7,165.99","7,174.75","6,994.56","163.93M","-2.11%"
"Apr 15, 2011","7,178.29","7,166.98","7,193.38","7,144.96","187.05M","0.44%"
"Apr 14, 2011","7,146.56","7,160.99","7,184.93","7,099.66","134.22M","-0.44%"
"Apr 13, 2011","7,177.97","7,135.21","7,201.12","7,122.51","182.46M","1.06%"
"Apr 12, 2011","7,102.91","7,131.44","7,177.74","7,089.17","147.60M","-1.42%"
"Apr 11, 2011","7,204.86","7,215.34","7,224.74","7,157.33","108.14M","-0.17%"
"Apr 08, 2011","7,217.02","7,226.79","7,232.87","7,195.44","117.23M","0.53%"
"Apr 07, 2011","7,178.78","7,212.46","7,241.09","7,175.35","125.93M","-0.50%"
"Apr 06, 2011","7,215.11","7,197.37","7,242.69","7,157.68","153.82M","0.55%"
"Apr 05, 2011","7,175.31","7,174.69","7,186.35","7,129.41","104.32M","-0.00%"
"Apr 04, 2011","7,175.33","7,178.59","7,200.26","7,168.24","79.27M","-0.06%"
"Apr 01, 2011","7,179.81","7,086.56","7,192.38","7,086.56","103.28M","1.97%"
"Mar 31, 2011","7,041.31","7,068.29","7,079.76","7,041.31","96.95M","-0.22%"
"Mar 30, 2011","7,057.15","7,010.77","7,065.27","7,002.77","100.54M","1.77%"
"Mar 29, 2011","6,934.44","6,952.51","6,960.16","6,867.42","93.21M","-0.06%"
"Mar 28, 2011","6,938.63","6,931.86","6,981.19","6,915.58","72.64M","-0.11%"
"Mar 25, 2011","6,946.36","6,971.77","6,985.25","6,920.57","80.87M","0.18%"
"Mar 24, 2011","6,933.58","6,798.08","6,941.72","6,787.04","103.54M","1.90%"
"Mar 23, 2011","6,804.45","6,749.18","6,807.38","6,720.02","95.71M","0.35%"
"Mar 22, 2011","6,780.97","6,823.08","6,826.03","6,765.06","119.67M","-0.52%"
"Mar 21, 2011","6,816.12","6,782.30","6,829.75","6,781.30","218.42M","2.28%"
"Mar 18, 2011","6,664.40","6,715.17","6,761.31","6,655.69","252.61M","0.11%"
"Mar 17, 2011","6,656.88","6,557.85","6,692.83","6,517.18","146.28M","2.20%"
"Mar 16, 2011","6,513.84","6,696.31","6,733.03","6,501.85","202.70M","-2.01%"
"Mar 15, 2011","6,647.66","6,668.99","6,714.83","6,483.39","284.44M","-3.19%"
"Mar 14, 2011","6,866.63","6,896.31","6,946.44","6,847.94","170.81M","-1.65%"
"Mar 11, 2011","6,981.49","7,002.26","7,014.02","6,963.31","141.42M","-1.16%"
"Mar 10, 2011","7,063.09","7,078.69","7,109.71","7,021.95","131.97M","-0.96%"
"Mar 09, 2011","7,131.80","7,177.55","7,217.54","7,109.26","129.98M","-0.46%"
"Mar 08, 2011","7,164.75","7,211.06","7,222.16","7,072.47","143.92M","0.04%"
"Mar 07, 2011","7,161.93","7,137.81","7,270.81","7,127.31","86.67M","-0.24%"
"Mar 04, 2011","7,178.90","7,262.54","7,311.25","7,157.12","97.46M","-0.65%"
"Mar 03, 2011","7,225.96","7,225.23","7,294.04","7,191.14","95.32M","0.62%"
"Mar 02, 2011","7,181.12","7,169.04","7,202.58","7,122.69","111.14M","-0.58%"
"Mar 01, 2011","7,223.30","7,309.80","7,356.33","7,193.78","112.18M","-0.67%"
"Feb 28, 2011","7,272.32","7,173.59","7,305.49","7,148.94","101.48M","1.21%"
"Feb 25, 2011","7,185.17","7,139.88","7,194.02","7,130.15","114.08M","0.77%"
"Feb 24, 2011","7,130.50","7,134.70","7,156.05","7,093.91","137.57M","-0.89%"
"Feb 23, 2011","7,194.60","7,295.12","7,310.73","7,183.30","118.02M","-1.69%"
"Feb 22, 2011","7,318.35","7,293.11","7,350.95","7,259.67","121.30M","-0.05%"
"Feb 21, 2011","7,321.81","7,412.06","7,441.82","7,310.69","100.85M","-1.41%"
"Feb 18, 2011","7,426.81","7,422.11","7,427.30","7,379.94","122.19M","0.29%"
"Feb 17, 2011","7,405.51","7,429.00","7,434.93","7,364.04","112.23M","-0.12%"
"Feb 16, 2011","7,414.30","7,414.23","7,438.42","7,399.82","122.45M","0.19%"
"Feb 15, 2011","7,400.04","7,397.68","7,420.69","7,376.24","101.59M","0.05%"
"Feb 14, 2011","7,396.63","7,403.83","7,424.36","7,378.41","69.64M","0.34%"
"Feb 11, 2011","7,371.20","7,320.07","7,390.48","7,283.87","96.10M","0.42%"
"Feb 10, 2011","7,340.28","7,322.62","7,340.87","7,269.53","105.38M","0.26%"
"Feb 09, 2011","7,320.90","7,319.12","7,350.78","7,310.44","81.82M","-0.03%"
"Feb 08, 2011","7,323.24","7,274.17","7,325.03","7,272.80","98.88M","0.54%"
"Feb 07, 2011","7,283.62","7,222.05","7,287.66","7,214.05","93.21M","0.93%"
"Feb 04, 2011","7,216.21","7,216.66","7,226.64","7,186.24","94.08M","0.31%"
"Feb 03, 2011","7,193.68","7,175.75","7,198.98","7,144.08","105.09M","0.14%"
"Feb 02, 2011","7,183.67","7,202.62","7,222.13","7,160.36","114.24M","-0.01%"
"Feb 01, 2011","7,184.27","7,133.34","7,190.75","7,105.31","117.37M","1.51%"
"Jan 31, 2011","7,077.48","7,094.56","7,107.37","7,033.09","93.02M","-0.36%"
"Jan 28, 2011","7,102.80","7,155.47","7,177.23","7,102.80","96.02M","-0.74%"
"Jan 27, 2011","7,155.58","7,120.64","7,180.15","7,114.35","113.48M","0.40%"
"Jan 26, 2011","7,127.35","7,092.89","7,160.86","7,087.25","109.51M","0.97%"
"Jan 25, 2011","7,059.01","7,096.84","7,102.08","7,043.64","122.87M","-0.12%"
"Jan 24, 2011","7,067.77","7,080.78","7,089.62","7,000.41","121.57M","0.08%"
"Jan 21, 2011","7,062.42","7,047.70","7,122.89","7,023.69","173.92M","0.54%"
"Jan 20, 2011","7,024.27","7,074.89","7,084.24","7,008.62","154.43M","-0.83%"
"Jan 19, 2011","7,082.76","7,163.37","7,165.00","7,077.23","110.00M","-0.85%"
"Jan 18, 2011","7,143.45","7,100.48","7,156.25","7,099.12","121.73M","0.92%"
"Jan 17, 2011","7,078.06","7,072.75","7,087.43","7,055.83","79.25M","0.03%"
"Jan 14, 2011","7,075.70","7,055.42","7,083.02","7,015.35","125.09M","0.01%"
"Jan 13, 2011","7,075.11","7,075.54","7,084.07","7,036.09","160.36M","0.09%"
"Jan 12, 2011","7,068.78","6,958.84","7,070.40","6,958.50","122.56M","1.83%"
"Jan 11, 2011","6,941.57","6,879.39","6,951.19","6,860.52","115.26M","1.23%"
"Jan 10, 2011","6,857.06","6,920.36","6,941.39","6,835.74","93.17M","-1.31%"
"Jan 07, 2011","6,947.84","6,991.55","7,010.89","6,939.88","92.63M","-0.48%"
"Jan 06, 2011","6,981.39","6,949.48","7,047.59","6,949.07","91.24M","0.60%"
"Jan 05, 2011","6,939.82","6,966.08","6,967.24","6,842.90","117.14M","-0.51%"
"Jan 04, 2011","6,975.35","6,979.68","7,025.86","6,952.02","87.67M","-0.21%"
"Jan 03, 2011","6,989.74","6,973.39","7,026.62","6,969.83","61.89M","1.09%"
"Dec 30, 2010","6,914.19","6,996.56","7,008.12","6,897.22","43.68M","-1.16%"
"Dec 29, 2010","6,995.47","6,989.54","7,008.31","6,981.79","39.09M","0.34%"
"Dec 28, 2010","6,972.10","6,984.85","6,990.81","6,957.65","32.27M","0.02%"
"Dec 27, 2010","6,970.73","7,055.32","7,056.34","6,943.05","44.52M","-1.23%"
"Dec 23, 2010","7,057.69","7,083.08","7,083.08","7,042.58","42.13M","-0.14%"
"Dec 22, 2010","7,067.92","7,079.22","7,084.10","7,067.71","62.44M","-0.14%"
"Dec 21, 2010","7,077.99","7,045.25","7,087.84","7,042.98","66.70M","0.85%"
"Dec 20, 2010","7,018.60","7,000.38","7,068.56","6,992.67","73.90M","0.52%"
"Dec 17, 2010","6,982.45","7,042.83","7,043.15","6,980.18","188.71M","-0.60%"
"Dec 16, 2010","7,024.40","7,012.99","7,033.03","6,991.69","78.31M","0.11%"
"Dec 15, 2010","7,016.37","7,007.49","7,029.74","6,964.13","93.68M","-0.16%"
"Dec 14, 2010","7,027.40","7,024.79","7,032.65","7,011.14","75.98M","-0.03%"
"Dec 13, 2010","7,029.39","7,027.58","7,044.87","7,017.60","72.04M","0.33%"
"Dec 10, 2010","7,006.17","6,987.69","7,018.11","6,973.32","98.52M","0.60%"
"Dec 09, 2010","6,964.16","7,017.99","7,021.31","6,947.90","141.06M","-0.17%"
"Dec 08, 2010","6,975.87","6,976.19","7,013.53","6,956.67","89.05M","-0.37%"
"Dec 07, 2010","7,001.91","6,987.88","7,042.67","6,962.10","112.76M","0.68%"
"Dec 06, 2010","6,954.38","6,970.24","6,971.95","6,926.57","84.51M","0.10%"
"Dec 03, 2010","6,947.72","6,947.31","6,977.91","6,914.50","103.22M","-0.14%"
"Dec 02, 2010","6,957.61","6,895.77","6,958.69","6,840.65","130.56M","1.32%"
"Dec 01, 2010","6,866.63","6,748.36","6,868.81","6,736.69","121.57M","2.66%"
"Nov 30, 2010","6,688.49","6,732.59","6,763.52","6,655.94","132.33M","-0.14%"
"Nov 29, 2010","6,697.97","6,867.77","6,907.61","6,697.97","123.91M","-2.20%"
"Nov 26, 2010","6,848.98","6,842.39","6,871.71","6,778.60","101.95M","-0.45%"
"Nov 25, 2010","6,879.66","6,834.68","6,885.81","6,823.19","84.55M","0.82%"
"Nov 24, 2010","6,823.80","6,740.61","6,833.70","6,701.98","118.63M","1.77%"
"Nov 23, 2010","6,705.00","6,791.75","6,827.83","6,705.00","115.85M","-1.72%"
